,Family,Superfamily,Class,TE_human
4688280,X24_DNA,DNA,DNA,X24_DNA|DNA|DNA
4688595,X4b_DNA,TcMar-Tigger,DNA,X4b_DNA|TcMar-Tigger|DNA
4688683,MARE8,DNA,DNA,MARE8|DNA|DNA
4689207,X32_DNA,TcMar-Tc1,DNA,X32_DNA|TcMar-Tc1|DNA
4689366,UCON34,hAT-Charlie,DNA,UCON34|hAT-Charlie|DNA
4689459,UCON58,DNA,DNA,UCON58|DNA|DNA
4689809,Eutr15,hAT-Tip100,DNA,Eutr15|hAT-Tip100|DNA
4690029,X1_DNA,TcMar-Tigger,DNA,X1_DNA|TcMar-Tigger|DNA
4690496,UCON105,hAT,DNA,UCON105|hAT|DNA
4690647,UCON44,TcMar-Tigger,DNA,UCON44|TcMar-Tigger|DNA
4690694,X5a_DNA,TcMar-Tigger,DNA,X5a_DNA|TcMar-Tigger|DNA
4690743,Eutr16,hAT-Tip100,DNA,Eutr16|hAT-Tip100|DNA
4690768,Charlie30b,hAT-Charlie,DNA,Charlie30b|hAT-Charlie|DNA
4691080,X12_DNA,TcMar-Tigger,DNA,X12_DNA|TcMar-Tigger|DNA
4691337,EUTREP2,hAT,DNA,EUTREP2|hAT|DNA
4691384,UCON73,hAT,DNA,UCON73|hAT|DNA
4691483,L2-2_Mam,L2,LINE,L2-2_Mam|L2|LINE
4691950,UCON59,DNA,DNA,UCON59|DNA|DNA
4692090,Charlie31a,hAT-Charlie,DNA,Charlie31a|hAT-Charlie|DNA
4692261,X12_LINE,I-Jockey,LINE,X12_LINE|I-Jockey|LINE
4692761,EUTREP16,LTR,LTR,EUTREP16|LTR|LTR
4692766,X6a_DNA,TcMar-Tigger,DNA,X6a_DNA|TcMar-Tigger|DNA
4693142,EUTREP7,ERV1,LTR,EUTREP7|ERV1|LTR
4694298,Eutr10,ERVL,LTR,Eutr10|ERVL|LTR
4694299,LTR89B,ERVL,LTR,LTR89B|ERVL|LTR
4694338,EuthAT-N1,hAT-Tip100,DNA,EuthAT-N1|hAT-Tip100|DNA
4694344,Arthur2,hAT-Tip100,DNA,Arthur2|hAT-Tip100|DNA
4694405,Eutr18,LTR,LTR,Eutr18|LTR|LTR
4695018,hAT-1_Mam,hAT-Tag1,DNA,hAT-1_Mam|hAT-Tag1|DNA
4695121,AluYb10,Alu,SINE,AluYb10|Alu|SINE
4696896,Tigger17d,TcMar-Tigger,DNA,Tigger17d|TcMar-Tigger|DNA
4697312,MamTip3B,hAT-Tip100,DNA,MamTip3B|hAT-Tip100|DNA
4698387,Eutr11,DNA,DNA,Eutr11|DNA|DNA
4698864,MamRep605b,LTR,LTR,MamRep605b|LTR|LTR
4700064,hAT-N1a_Mam,hAT-Tip100,DNA,hAT-N1a_Mam|hAT-Tip100|DNA
4701484,X26_DNA,TcMar-Tigger,DNA,X26_DNA|TcMar-Tigger|DNA
4702391,AmnHarb1,PIF-Harbinger,DNA,AmnHarb1|PIF-Harbinger|DNA
4702444,X9a_DNA,DNA,DNA,X9a_DNA|DNA|DNA
4704403,X21_LINE,CR1,LINE,X21_LINE|CR1|LINE
4704654,UCON38,hAT-Charlie,DNA,UCON38|hAT-Charlie|DNA
4707186,Zaphod5a,hAT-Tip100,DNA,Zaphod5a|hAT-Tip100|DNA
4707465,Eutr2B,MULE-MuDR,DNA,Eutr2B|MULE-MuDR|DNA
4711243,MLT1C2-int,ERVL-MaLR,LTR,MLT1C2-int|ERVL-MaLR|LTR
4719456,X4a_DNA,TcMar-Tigger,DNA,X4a_DNA|TcMar-Tigger|DNA
4719488,X30_DNA,DNA,DNA,X30_DNA|DNA|DNA
4720848,Tigger6,TcMar-Tigger,DNA,Tigger6|TcMar-Tigger|DNA
4721203,Eutr5,LTR,LTR,Eutr5|LTR|LTR
4722209,Charlie32a,hAT-Charlie,DNA,Charlie32a|hAT-Charlie|DNA
4725267,X24_LINE,L2,LINE,X24_LINE|L2|LINE
4726610,X34_DNA,DNA,DNA,X34_DNA|DNA|DNA
4726723,UCON15,hAT-Ac,DNA,UCON15|hAT-Ac|DNA
4728452,UCON4,DNA,DNA,UCON4|DNA|DNA
4729364,Charlie29b,hAT-Charlie,DNA,Charlie29b|hAT-Charlie|DNA
4729424,X2b_DNA,DNA,DNA,X2b_DNA|DNA|DNA
4734840,Zaphod4a,hAT-Tip100,DNA,Zaphod4a|hAT-Tip100|DNA
4736188,EutTc1-N2,TcMar-Tc1,DNA,EutTc1-N2|TcMar-Tc1|DNA
4737873,AluYb11,Alu,SINE,AluYb11|Alu|SINE
4740282,Tigger22N1,TcMar-Tigger,DNA,Tigger22N1|TcMar-Tigger|DNA
4740295,X2a_DNA,DNA,DNA,X2a_DNA|DNA|DNA
4741472,Eutr2,MULE-MuDR,DNA,Eutr2|MULE-MuDR|DNA
4742794,X23_DNA,DNA,DNA,X23_DNA|DNA|DNA
4745615,UCON40,TcMar-Mariner,DNA,UCON40|TcMar-Mariner|DNA
4747720,Zaphod5b,hAT-Tip100,DNA,Zaphod5b|hAT-Tip100|DNA
4751006,CR1-1_Amn,CR1,LINE,CR1-1_Amn|CR1|LINE
4754646,Tigger21a,TcMar-Tigger,DNA,Tigger21a|TcMar-Tigger|DNA
4757754,MamRTE2,RTE-BovB,LINE,MamRTE2|RTE-BovB|LINE
4758875,EUTREP15,ERV1,LTR,EUTREP15|ERV1|LTR
4760062,MARE6,L1-Tx1,LINE,MARE6|L1-Tx1|LINE
4780559,UCON37,hAT-Ac,DNA,UCON37|hAT-Ac|DNA
