,Family,Superfamily,Class,TE_human
8900,MamRep137,TcMar-Tigger,DNA,MamRep137|TcMar-Tigger|DNA
8970,Charlie17a,hAT-Charlie,DNA,Charlie17a|hAT-Charlie|DNA
8984,MER94B,hAT-Blackjack,DNA,MER94B|hAT-Blackjack|DNA
9039,Eulor2A,DNA,DNA,Eulor2A|DNA|DNA
9107,X9_LINE,L1,LINE,X9_LINE|L1|LINE
9182,CR1-3_Croc,CR1,LINE,CR1-3_Croc|CR1|LINE
9289,LTR86A2,ERVL,LTR,LTR86A2|ERVL|LTR
9316,X5B_LINE,CR1,LINE,X5B_LINE|CR1|LINE
9617,Mam_R4,Dong-R4,LINE,Mam_R4|Dong-R4|LINE
9689,MLT2C2,ERVL,LTR,MLT2C2|ERVL|LTR
9691,Ricksha_c,MULE-MuDR,DNA,Ricksha_c|MULE-MuDR|DNA
9704,MLT1G3,ERVL-MaLR,LTR,MLT1G3|ERVL-MaLR|LTR
9850,CR1-16_AMi,CR1,LINE,CR1-16_AMi|CR1|LINE
9872,MER96B,hAT-Tip100,DNA,MER96B|hAT-Tip100|DNA
10016,LTR1F,ERV1,LTR,LTR1F|ERV1|LTR
10044,Charlie24,hAT-Charlie,DNA,Charlie24|hAT-Charlie|DNA
10205,MER75B,PiggyBac,DNA,MER75B|PiggyBac|DNA
10401,L1MA4A,L1,LINE,L1MA4A|L1|LINE
10521,Tigger3b,TcMar-Tigger,DNA,Tigger3b|TcMar-Tigger|DNA
10561,Zaphod,hAT-Tip100,DNA,Zaphod|hAT-Tip100|DNA
10599,MER84,ERV1,LTR,MER84|ERV1|LTR
10600,MER84-int,ERV1,LTR,MER84-int|ERV1|LTR
10804,Charlie10,hAT-Charlie,DNA,Charlie10|hAT-Charlie|DNA
10838,LTR9D,ERV1,LTR,LTR9D|ERV1|LTR
10843,SVA_F,SVA,Retroposon,SVA_F|SVA|Retroposon
10899,Charlie26a,hAT-Charlie,DNA,Charlie26a|hAT-Charlie|DNA
10972,Charlie21a,hAT-Charlie,DNA,Charlie21a|hAT-Charlie|DNA
11263,LTR29,ERV1,LTR,LTR29|ERV1|LTR
11294,SVA_B,SVA,Retroposon,SVA_B|SVA|Retroposon
11440,Charlie10a,hAT-Charlie,DNA,Charlie10a|hAT-Charlie|DNA
11500,LTR86C,ERVL,LTR,LTR86C|ERVL|LTR
11521,L1M,L1,LINE,L1M|L1|LINE
11599,Charlie2a,hAT-Charlie,DNA,Charlie2a|hAT-Charlie|DNA
11705,SVA_E,SVA,Retroposon,SVA_E|SVA|Retroposon
11713,MER104,TcMar-Tc2,DNA,MER104|TcMar-Tc2|DNA
11836,Kanga11a,TcMar-Tc2,DNA,Kanga11a|TcMar-Tc2|DNA
11863,MER5C1,hAT-Charlie,DNA,MER5C1|hAT-Charlie|DNA
