Disease,Top_Class
geographic atrophy,Diseases of the visual system
germ cell cancer,Neoplasms
germ cell cancers,Neoplasms
glaucoma,Diseases of the visual system
gynecologic cancers,Neoplasms
gynecologic tumors,Neoplasms
haematological malignancies,Neoplasms
head and neck cancer,Neoplasms
heart disease,Diseases of the circulatory system
hemoglobinopathies,Diseases of the blood or blood-forming organs
hemophilia,Diseases of the blood or blood-forming organs
hereditary breast and ovarian cancer syndrome,Neoplasms
hereditary diseases,Diseases of the nervous system
hereditary neuropathy with liability to pressure palsies,Diseases of the nervous system
high blood pressure,Diseases of the circulatory system
high-grade ovarian serous carcinoma,Neoplasms
high-grade serous ovarian carcinoma,Neoplasms
human cancer,Certain infectious or parasitic diseases
human cancers,Certain infectious or parasitic diseases
human disease,Certain infectious or parasitic diseases
human diseases,Certain infectious or parasitic diseases
human disorders,Diseases of the nervous system
human neoplasms,Certain infectious or parasitic diseases
human tumors,Certain infectious or parasitic diseases
hydrocephalus,Diseases of the nervous system
hypercholesterolemia,"Endocrine, nutritional or metabolic diseases"
hypospermatogenesis,Diseases of the genitourinary system
ileal carcinoid,Neoplasms
infertility,Diseases of the genitourinary system
infiltrating ductal carcinoma,Neoplasms
inflammation,Diseases of the musculoskeletal system or connective tissue
inherited disease,"Endocrine, nutritional or metabolic diseases"
intestinal-type adenocarcinoma,Neoplasms
kidney cancer,Neoplasms
laminopathies,"Endocrine, nutritional or metabolic diseases"
late-onset Alzheimer's disease,"Mental, behavioural or neurodevelopmental disorders"
leukemia,Neoplasms
lichen simplex chronicus,Diseases of the skin
liver cancer,Neoplasms
lung adenocarcinoma,Neoplasms
lung cancer,Neoplasms
lung carcinoma,Neoplasms
lung neoplasia,Neoplasms
lung squamous cell carcinoma,Neoplasms
major depression,"Mental, behavioural or neurodevelopmental disorders"
major depression disorder,"Mental, behavioural or neurodevelopmental disorders"
major depressive disorder,"Mental, behavioural or neurodevelopmental disorders"
malignancies,Neoplasms
malignancy,Neoplasms
malignant transformation,Neoplasms
melanoma,Neoplasms
mental disorders,"Mental, behavioural or neurodevelopmental disorders"
metabolic disease,"Endocrine, nutritional or metabolic diseases"
metabolic diseases,"Endocrine, nutritional or metabolic diseases"
microcephaly,Diseases of the nervous system
mood disorders,"Mental, behavioural or neurodevelopmental disorders"
multiple myeloma,Neoplasms
muscular dystrophy,Diseases of the nervous system
myelodysplastic syndromes,Neoplasms
myeloid leukemia,Neoplasms
myeloma,Neoplasms
neoplasia,Neoplasms
neural tube defect,Diseases of the nervous system
neuroblastoma,Neoplasms
neurodegeneration,"Endocrine, nutritional or metabolic diseases"
neurodegenerative disease,"Endocrine, nutritional or metabolic diseases"
neurodegenerative diseases,"Endocrine, nutritional or metabolic diseases"
